rubrique,regime,department,count
1131,Autorisation,68,14
1138,Autorisation,68,2
1172,,68,10
1173,Inconnu,68,4
1175,,68,2
1190,Inconnu,68,2
1200,Inconnu,68,4
1412,,68,12
1416,Inconnu,68,3
1418,,68,8
1433,,68,8
1435,,68,10
1611,,68,7
1715,Autorisation,68,7
1720,,68,7
2564,Inconnu,68,4
2921,Autorisation,68,4
2930,Inconnu,68,5
98BIS,Inconnu,68,2
406,,68,12
253,Inconnu,68,2
3,,68,4
1720,Inconnu,68,3
2661,Enregistrement,68,14
4718,Inconnu,68,2
4734,,68,4
98BIS,,68,9
1331,Inconnu,68,4
2160,Autorisation,68,13
253,,68,20
4801,,68,4
2640,Autorisation,68,4
4331,Enregistrement,68,2
1721,,68,5
1721,Inconnu,68,5
196BIS,Autorisation,68,4
355,,68,8
238,Autorisation,68,2
253,Autorisation,68,9
261,,68,3
4725,,68,2
3410,Autorisation,68,10
4110,Autorisation,68,5
4120,Autorisation,68,8
4130,,68,3
4130,Autorisation,68,8
4140,,68,1
4310,Inconnu,68,2
4330,Inconnu,68,1
4331,Inconnu,68,3
4441,Inconnu,68,2
4510,Autorisation,68,6
4511,Inconnu,68,1
4610,,68,1
1150,Autorisation,68,3
1172,Inconnu,68,5
1412,Inconnu,68,12
1521,Autorisation,68,1
2410,,68,12
2415,Autorisation,68,18
2560,Inconnu,68,8
67,,68,4
81,,68,2
81BIS,,68,4
1158,Autorisation,68,5
1420,Autorisation,68,1
2710,Autorisation,68,7
2760,Autorisation,68,6
3540,Autorisation,68,2
2445,Autorisation,68,6
2563,,68,2
2711,Enregistrement,68,1
4713,,68,1
2260,Inconnu,68,5
2920,Inconnu,68,10
376BIS,Autorisation,68,2
1110,Autorisation,68,3
1200,Autorisation,68,2
1220,,68,4
1311,,68,3
1532,,68,13
3110,Autorisation,68,4
2260,,68,12
2780,Autorisation,68,6
1185,Autorisation,68,1
261BIS,Autorisation,68,2
2921,,08,42
2940,,08,13
1511,Inconnu,68,1
2220,Inconnu,68,1
2221,,68,3
2230,Inconnu,68,1
2340,Autorisation,68,1
2340,Enregistrement,68,4
2410,Inconnu,68,3
2450,Inconnu,68,2
2685,,68,1
2950,Autorisation,68,1
2950,,68,2
2640,,68,1
272,,68,11
2799,Autorisation,68,3
3550,Autorisation,68,4
211,,68,6
1531,,68,2
81,Autorisation,68,3
81QUA,Autorisation,68,3
81TER,Autorisation,68,1
2750,Autorisation,68,3
251,Autorisation,68,3
2566,Autorisation,68,4
1411,,68,2
2714,Enregistrement,68,3
2712,Enregistrement,68,5
2712,Autorisation,68,8
2713,Autorisation,68,6
2714,,68,9
395,,68,4
1450,,68,2
195,,68,1
281,,68,2
285,,68,4
1510,,68,9
