rubriques,years,departments,occurrences
3642,2013,67,2
1190,2009,67,1
2260,1995,67,3
2680,2000,67,1
2685,2009,67,1
4140,2016,67,2
4734,2016,67,4
4802,2016,67,5
1432,1993,67,1
2515,1993,67,1
2517,2020,67,3
2930,1993,67,1
2910,2016,51,7
2920,2016,51,1
2560,2010,67,7
2561,2010,67,2
2565,2010,67,4
2575,2010,67,4
2925,2010,67,8
2940,2010,67,5
2220,1999,67,4
2221,1999,67,1
2752,2002,67,1
2920,2004,67,16
2920,1999,67,7
2925,1999,67,3
2523,1998,67,1
1150,1997,67,2
1416,1997,67,1
1416,1998,67,1
1450,1997,67,1
2564,2003,67,4
2921,2004,67,1
2921,2013,67,10
1432,2000,67,9
1530,2000,67,4
1710,1991,67,1
1710,2000,67,2
2260,1991,67,1
2440,1991,67,1
2440,2003,67,1
2445,2000,67,1
253,1991,67,3
2910,2000,67,9
3,1991,67,3
355,1991,67,2
361,1991,67,4
81,1991,67,2
81BIS,1991,67,1
121,1994,67,1
251,1994,67,1
2565,1994,67,3
285,1994,67,1
1220,1999,67,2
2561,2009,67,1
2330,1814,67,1
1172,2008,67,3
1173,2008,67,2
1175,2008,67,1
1433,2008,67,4
2260,2008,67,4
2921,2008,67,4
4110,2014,67,1
4331,2014,67,1
4511,2014,67,1
322,1968,33,1
1185,2012,67,2
1185,1997,67,1
2915,2008,67,5
2171,2005,67,3
2515,2005,67,4
2517,2005,67,2
2518,2013,67,1
2521,2005,67,2
2522,2013,67,1
2710,2013,67,19
2781,2018,67,3
3510,2013,67,1
3532,2013,67,1
3550,2013,67,3
4310,2018,67,1
167,2000,67,3
253,1964,67,1
286,1991,67,1
286,2000,67,3
328BIS,1990,67,1
328BIS,1991,67,1
1131,1997,67,2
2160,2013,67,2
253,1989,67,4
1158,1999,67,1
1175,1999,67,1
1180,1999,67,2
1185,1999,67,2
1432,1999,67,2
253,1999,67,5
2660,1999,67,2
2661,1999,67,3
153BIS,1982,67,1
218,1982,67,1
2220,2004,67,3
2925,2004,67,11
3,1982,67,1
361,1982,67,1
89,1982,67,2
1131,2000,67,1
1131,2005,67,5
1150,2005,67,3
1151,2014,67,1
1158,2000,67,1
1158,2005,67,1
1171,2005,67,2
1173,2014,67,1
1175,2000,67,2
120,1973,67,2
1433,2000,67,1
1433,2005,67,3
1434,2014,67,3
1520,2000,67,3
1520,2005,67,3
1521,2000,67,1
1521,2005,67,2
217,1978,67,1
254,1973,67,2
255,1973,67,1
257,1971,67,1
258,1973,67,1
2660,2005,67,3
2661,2005,67,2
2661,2014,67,6
2661,1973,67,1
2661,2000,67,2
2662,2000,67,2
2662,2014,67,3
2662,2005,67,4
2910,1971,67,1
2915,2000,67,3
2915,2005,67,4
33BIS,1971,67,1
4110,2016,67,1
4120,2016,67,1
4130,2016,67,3
4331,2016,67,4
4421,2016,67,1
4510,2016,67,3
4726,2016,67,1
4801,2016,67,3
66,1971,67,1
67,1973,67,1
2566,2003,67,1
2575,2003,67,3
2523,2004,67,2
358,1985,67,1
1510,2004,67,5
2560,2004,67,6
2561,2004,67,3
2564,2004,67,5
2575,2004,67,3
2661,2004,67,5
2661,1814,67,1
2662,1814,67,3
2663,2004,67,3
2921,2016,67,7
1212,2008,67,1
1418,1999,67,1
1720,1999,67,1
2561,1999,67,3
2567,1999,67,1
2575,1999,67,2
2940,1999,67,6
1131,2010,67,4
1150,2003,67,1
1158,2010,67,1
2564,2010,67,2
2660,2010,67,1
2915,2010,67,3
3410,2013,67,5
1530,1998,67,8
2415,1998,67,4
1412,1999,67,2
2663,1999,67,1
1200,2010,67,3
1220,2009,67,1
1510,2012,67,2
2253,2009,67,1
2663,2010,67,5
1131,2001,67,2
2564,1814,67,1
1175,1995,67,1
211,1995,67,3
2662,2013,67,1
2410,2007,67,3
2415,2007,67,2
253,1994,67,3
2940,1994,67,1
81,1994,67,2
81BIS,1994,67,2
2713,2013,67,1
2791,2018,67,5
2794,2018,67,1
322,1997,67,2
2710,1993,67,1
141,1970,67,4
141,1973,67,3
2220,1814,67,3
2515,1983,67,1
2521,2000,67,3
1180,2004,67,5
1433,2004,67,3
223,1964,67,1
2445,2004,67,1
2450,1990,67,1
2450,2004,67,2
254,1964,67,1
255,1966,67,4
361,1981,67,3
81,1990,67,1
